epoch,age_output_accuracy,age_output_loss,gender_output_accuracy,gender_output_loss,learning_rate,loss,val_age_output_accuracy,val_age_output_loss,val_gender_output_accuracy,val_gender_output_loss,val_loss
0,0.20578230917453766,2.315580368041992,0.5017006993293762,1.1678340435028076,9.999999747378752e-05,3.475166082382202,0.015306122601032257,1.6863924264907837,0.545918345451355,0.6870317459106445,2.380061149597168
1,0.20068027079105377,2.2483150959014893,0.511904776096344,1.0641225576400757,9.999999747378752e-05,3.299750804901123,0.005102040711790323,1.8291736841201782,0.5204081535339355,0.6838722825050354,2.544311285018921
2,0.2023809552192688,2.1694958209991455,0.49829933047294617,1.0478034019470215,9.999999747378752e-05,3.200195789337158,0.005102040711790323,1.9233083724975586,0.5153061151504517,0.8804057836532593,2.8710713386535645
3,0.2142857164144516,2.167457103729248,0.5034013390541077,1.059250831604004,9.999999747378752e-05,3.2146785259246826,0.030612245202064514,1.8374522924423218,0.5102040767669678,0.8281682133674622,2.7025959491729736
4,0.2329932004213333,2.0696916580200195,0.4897959232330322,1.0208210945129395,9.999999747378752e-05,3.1064038276672363,0.030612245202064514,1.7945688962936401,0.5,0.6929078698158264,2.512617826461792
5,0.21598640084266663,2.0875351428985596,0.4710884392261505,1.1493511199951172,9.999999747378752e-05,3.256542682647705,0.10204081982374191,1.7859809398651123,0.5714285969734192,0.688049852848053,2.476121425628662
6,0.26530611515045166,1.9883393049240112,0.511904776096344,1.0891342163085938,9.999999747378752e-05,3.0803637504577637,0.33673468232154846,1.589097023010254,0.545918345451355,0.6939653158187866,2.2317757606506348
7,0.2551020383834839,1.9080218076705933,0.5,1.1038873195648193,9.999999747378752e-05,3.0006189346313477,0.3469387888908386,1.5711251497268677,0.5510203838348389,0.6996745467185974,2.2102456092834473
8,0.23979592323303223,2.0063037872314453,0.4948979616165161,1.0382957458496094,9.999999747378752e-05,3.053025484085083,0.33673468232154846,1.5456324815750122,0.5102040767669678,0.772053062915802,2.345179557800293
9,0.2380952388048172,2.014242172241211,0.5204081535339355,0.9879879951477051,9.999999747378752e-05,2.994143009185791,0.2448979616165161,1.5455437898635864,0.5102040767669678,0.6996769905090332,2.255871295928955
10,0.25340136885643005,1.908705711364746,0.49829933047294617,0.9861337542533875,9.999999747378752e-05,2.9042279720306396,0.2448979616165161,1.5311359167099,0.5,0.7273057103157043,2.253889322280884
11,0.261904776096344,1.8941043615341187,0.4693877696990967,1.0610302686691284,9.999999747378752e-05,2.938734531402588,0.3571428656578064,1.5068614482879639,0.5,0.7932438850402832,2.2905824184417725
12,0.2431972771883011,1.8596948385238647,0.5153061151504517,1.0121883153915405,9.999999747378752e-05,2.8847765922546387,0.36734694242477417,1.452809453010559,0.5,0.7009887099266052,2.11258602142334
13,0.25340136885643005,1.8883514404296875,0.5085033774375916,1.0087106227874756,9.999999747378752e-05,2.8984375,0.4030612111091614,1.477752923965454,0.5,0.7414456605911255,2.150069236755371
14,0.29931971430778503,1.7871897220611572,0.5306122303009033,0.9506887197494507,9.999999747378752e-05,2.7499446868896484,0.3469387888908386,1.53165602684021,0.5,0.749676525592804,2.212907075881958
15,0.2687074840068817,1.81732177734375,0.523809552192688,0.91802579164505,9.999999747378752e-05,2.7296791076660156,0.34183672070503235,1.5171743631362915,0.5,0.7288851141929626,2.1815309524536133
16,0.26530611515045166,1.7873934507369995,0.5136054158210754,0.9354691505432129,9.999999747378752e-05,2.7245748043060303,0.3316326439380646,1.4618117809295654,0.5,0.7542186379432678,2.146775722503662
17,0.29931971430778503,1.7311770915985107,0.5153061151504517,0.9733946919441223,9.999999747378752e-05,2.7086238861083984,0.33673468232154846,1.4955470561981201,0.5,0.7188466191291809,2.1386606693267822
18,0.3265306055545807,1.6893302202224731,0.49659863114356995,1.0197527408599854,9.999999747378752e-05,2.7199418544769287,0.34183672070503235,1.5656073093414307,0.5,0.7134236097335815,2.191411018371582
19,0.2687074840068817,1.7412443161010742,0.5204081535339355,0.9866046905517578,9.999999747378752e-05,2.714984655380249,0.3316326439380646,1.602154016494751,0.5,0.7743863463401794,2.272292375564575
